,trans_date,Unnamed: 0,Open,High,Low,Close,Volume BTC,Volume USD
0,2017-01-01,719.5,977.2532083333323,977.4183333333331,977.0957222222216,977.2684652777779,6.313665929180556,6215.613315916206
1,2017-01-02,2159.5,1012.263159722218,1012.5411111111052,1011.9597847222195,1012.2739027777732,6.240900000097221,6320.823540530368
2,2017-01-03,3599.5,1019.9874305555506,1020.2462569444384,1019.7551458333297,1020.0404722222169,6.866814222805562,7006.929346046857
3,2017-01-04,5039.5,1076.5528819444435,1077.291756944444,1075.5239861111124,1076.5536388888893,15.693348341986137,17052.837733639564
4,2017-01-05,6479.5,1043.6091597222198,1044.9327152777753,1042.0483194444425,1043.5479513888868,25.459151123895783,25625.674043718533
5,2017-01-06,7919.5,934.4239444444441,935.4465486111111,933.2003611111103,934.416729166666,19.759861139124997,18084.985630292296
6,2017-01-07,9359.5,869.6320555555566,870.7438750000008,868.8832638888891,869.7383333333331,14.57517115030558,12600.209012282148
7,2017-01-08,10799.5,914.2363541666668,914.6769722222224,913.5722291666684,913.9660833333352,6.532828989694464,5967.924790411131
8,2017-01-09,12239.5,893.4989444444433,893.937395833332,892.9756388888884,893.4715347222203,6.690514074263889,5970.798308885212
9,2017-01-10,13679.5,902.6446874999996,902.9316180555539,902.2642361111118,902.6383750000003,6.986243219847235,6303.789956489238
10,2017-01-11,15119.5,846.2716388888891,847.3163958333329,845.1278958333354,846.1733125000004,25.32053829212501,20806.766785628606
11,2017-01-12,16559.5,782.9784374999999,783.5722777777775,782.3645972222237,782.9616875000007,12.498239114951394,9792.168044392958
12,2017-01-13,17999.5,807.2211180555579,807.7291527777794,806.719986111113,807.1775069444466,8.827079525034721,7136.528759233139
13,2017-01-14,19439.5,827.4313958333338,827.615125000001,827.2228541666665,827.4124305555556,5.854085607458334,4840.175218915866
14,2017-01-15,20879.5,817.1383958333324,817.3409999999997,816.8793819444422,817.0810069444422,3.472817384347231,2836.282238131663
15,2017-01-16,22319.5,827.9791319444404,828.1222986111063,827.808291666664,827.9779583333292,5.323666929840273,4409.227128848643
16,2017-01-17,23759.5,876.1697986111096,876.6537986111098,875.7330000000009,876.1814722222224,8.887595251659711,7811.096082472705
17,2017-01-18,25199.5,885.3850208333338,885.7234305555552,885.0296666666679,885.3456527777782,8.230479317631945,7238.834754498378
18,2017-01-19,26639.5,893.327590277777,893.6202291666659,893.0293472222222,893.2943888888883,8.488791101895833,7596.297916218935
19,2017-01-20,28079.5,895.5702708333322,895.7229652777771,895.3835486111088,895.5526874999991,5.882978724138884,5259.40635276017
20,2017-01-21,29519.5,917.6515624999972,917.8297291666624,917.4949791666643,917.6793819444409,4.599780531347228,4214.952131217822
21,2017-01-22,30959.5,922.6496736111121,922.927166666667,922.388798611113,922.6891111111116,5.6774144032499985,5212.125897994585
22,2017-01-23,32399.5,920.1713263888903,920.3565902777796,919.959236111112,920.1885069444457,2.817844505493053,2593.4029388808126
23,2017-01-24,33839.5,907.2163263888899,907.4475763888893,906.8925208333333,907.1863263888894,7.213659569479172,6520.8002778288765
24,2017-01-25,35279.5,894.5111736111144,894.6443819444481,894.3535486111126,894.5093472222253,4.329846413812508,3868.9551455427086
25,2017-01-26,36719.5,905.7946874999996,905.9387916666655,905.665486111111,905.7991805555549,4.193569541833342,3805.381365828181
26,2017-01-27,38159.5,917.1818819444434,917.2993611111103,917.0610138888889,917.1794791666654,4.413200135756938,4050.1565668189673
