,trans_date,Unnamed: 0,Open,High,Low,Close,Volume BTC,Volume USD,Future Prediction
0,1/1/2017,719.5,977.2532083,977.4183333,977.0957222,977.2684653,6.313665929,6215.613316,
1,1/2/2017,2159.5,1012.26316,1012.541111,1011.959785,1012.273903,6.2409,6320.823541,
2,1/3/2017,3599.5,1019.987431,1020.246257,1019.755146,1020.040472,6.866814223,7006.929346,
3,1/4/2017,5039.5,1076.552882,1077.291757,1075.523986,1076.553639,15.69334834,17052.83773,
4,1/5/2017,6479.5,1043.60916,1044.932715,1042.048319,1043.547951,25.45915112,25625.67404,
5,1/6/2017,7919.5,934.4239444,935.4465486,933.2003611,934.4167292,19.75986114,18084.98563,
6,1/7/2017,9359.5,869.6320556,870.743875,868.8832639,869.7383333,14.57517115,12600.20901,
7,1/8/2017,10799.5,914.2363542,914.6769722,913.5722292,913.9660833,6.53282899,5967.92479,
8,1/9/2017,12239.5,893.4989444,893.9373958,892.9756389,893.4715347,6.690514074,5970.798309,
9,1/10/2017,13679.5,902.6446875,902.9316181,902.2642361,902.638375,6.98624322,6303.789956,
10,1/11/2017,15119.5,846.2716389,847.3163958,845.1278958,846.1733125,25.32053829,20806.76679,
11,1/12/2017,16559.5,782.9784375,783.5722778,782.3645972,782.9616875,12.49823911,9792.168044,
12,1/13/2017,17999.5,807.2211181,807.7291528,806.7199861,807.1775069,8.827079525,7136.528759,
13,1/14/2017,19439.5,827.4313958,827.615125,827.2228542,827.4124306,5.854085607,4840.175219,
14,1/15/2017,20879.5,817.1383958,817.341,816.8793819,817.0810069,3.472817384,2836.282238,
15,1/16/2017,22319.5,827.9791319,828.1222986,827.8082917,827.9779583,5.32366693,4409.227129,
16,1/17/2017,23759.5,876.1697986,876.6537986,875.733,876.1814722,8.887595252,7811.096082,
17,1/18/2017,25199.5,885.3850208,885.7234306,885.0296667,885.3456528,8.230479318,7238.834754,
18,1/19/2017,26639.5,893.3275903,893.6202292,893.0293472,893.2943889,8.488791102,7596.297916,
19,1/20/2017,28079.5,895.5702708,895.7229653,895.3835486,895.5526875,5.882978724,5259.406353,
20,1/21/2017,29519.5,917.6515625,917.8297292,917.4949792,917.6793819,4.599780531,4214.952131,
21,1/22/2017,30959.5,922.6496736,922.9271667,922.3887986,922.6891111,5.677414403,5212.125898,
22,1/23/2017,32399.5,920.1713264,920.3565903,919.9592361,920.1885069,2.817844505,2593.402939,
23,1/24/2017,33839.5,907.2163264,907.4475764,906.8925208,907.1863264,7.213659569,6520.800278,
24,1/25/2017,35279.5,894.5111736,894.6443819,894.3535486,894.5093472,4.329846414,3868.955146,
25,1/26/2017,36719.5,905.7946875,905.9387917,905.6654861,905.7991806,4.193569542,3805.381366,
26,1/27/2017,38159.5,917.1818819,917.2993611,917.0610139,917.1794792,4.413200136,4050.156567,
27,1/28/2017,39599.5,918.3143264,918.3823611,918.2309236,918.3100625,1.282475602,1177.018296,
28,1/29/2017,41039.5,916.7857778,916.8682639,916.6967847,916.7811458,1.858664385,1701.338925,
29,1/30/2017,42479.5,916.9586389,917.1034167,916.8300903,916.9736319,2.936668162,2693.699309,
30,1/31/2017,43919.5,940.3955417,940.6366181,940.1864306,940.4473542,7.202183295,6829.617502,
31,2/1/2017,45359.5,970.8140764,971.0531458,970.6011875,970.8697292,5.522706271,5358.496176,
32,2/2/2017,46799.5,992.6897083,992.9589861,992.4821042,992.7625556,6.419864507,6379.827575,
33,2/3/2017,48239.5,1011.946354,1012.248903,1011.647076,1011.987583,8.207762049,8287.44166,
34,2/4/2017,49679.5,1017.739951,1017.986639,1017.541326,1017.796278,4.968368279,5077.642818,
35,2/5/2017,51119.5,1020.016451,1020.24475,1019.855368,1020.076299,4.358598155,4436.828792,
36,2/6/2017,52559.5,1020.809118,1021.064694,1020.60075,1020.889194,4.437375629,4529.609654,
37,2/7/2017,53999.5,1042.351007,1042.611611,1042.140431,1042.406979,4.181349815,4363.170594,
38,2/8/2017,55439.5,1053.700194,1054.059069,1053.324882,1053.732097,6.925629822,7244.079249,
39,2/9/2017,56879.5,1024.688354,1025.500007,1023.76541,1024.64891,17.78088102,17740.76504,
40,2/10/2017,58319.5,977.8227639,978.5052569,977.2661806,977.9281806,7.83391166,7659.090788,
41,2/11/2017,59759.5,1007.562931,1007.915271,1007.282299,1007.624819,3.727739334,3757.016927,
42,2/12/2017,61199.5,1003.370632,1003.572826,1003.197542,1003.397132,2.348865611,2355.87241,
43,2/13/2017,62639.5,998.7962361,999.1354514,998.5309931,998.8790764,3.571565152,3554.979312,
44,2/14/2017,64079.5,1006.051417,1006.385389,1005.775792,1006.081771,5.044159871,5077.375224,
45,2/15/2017,65519.5,1009.270979,1009.485715,1009.091333,1009.315285,2.648140738,2672.280696,
46,2/16/2017,66959.5,1026.611493,1027.033674,1026.311354,1026.709215,4.604338504,4736.245954,
47,2/17/2017,68399.5,1046.694521,1047.086326,1046.443417,1046.788778,4.939678749,5180.454051,
48,2/18/2017,69839.5,1061.380368,1061.748042,1061.10234,1061.474243,3.96446786,4204.759802,
49,2/19/2017,71279.5,1053.338771,1053.64675,1053.092694,1053.419354,2.348839694,2473.338914,
50,2/20/2017,72719.5,1057.2015,1057.578646,1057.007646,1057.350965,3.108226837,3305.300789,
51,2/21/2017,74159.5,1100.040438,1100.475951,1099.70241,1100.131694,6.604087105,7284.833542,
52,2/22/2017,75599.5,1122.602111,1123.139569,1122.223062,1122.672167,8.739030421,9839.186806,
53,2/23/2017,77039.5,1147.107542,1147.650174,1146.68659,1147.205097,8.579308875,9890.215119,
54,2/24/2017,78479.5,1185.386819,1186.148062,1184.555903,1185.388694,13.99866111,16449.80158,
55,2/25/2017,79919.5,1167.644417,1168.103778,1167.171444,1167.694535,4.891803306,5671.759561,
56,2/26/2017,81359.5,1164.573049,1164.968389,1164.264313,1164.638201,2.982334857,3477.301656,
57,2/27/2017,82799.5,1185.868868,1186.397403,1185.469583,1186.028257,3.670602506,4357.929953,
